第6976章扭转劣势，难度很大: https://www.xbiquge.bz/book/30892/40729834.html
第6975章积极防御才是最为重要的手段: https://www.xbiquge.bz/book/30892/40721094.html
第6974章晋军，不是罗马人能够比拟的: https://www.xbiquge.bz/book/30892/40720804.html
第6973章面对晋军的压力: https://www.xbiquge.bz/book/30892/40720505.html
第6972章晋军进攻，乃是必然: https://www.xbiquge.bz/book/30892/40720220.html
第6971章晋军，从不惧对手: https://www.xbiquge.bz/book/30892/40719845.html
第6970章怒吼声中，气势攀升: https://www.xbiquge.bz/book/30892/40719407.html
第6969章军容雄壮: https://www.xbiquge.bz/book/30892/40718943.html
第6968章大战来临的气氛: https://www.xbiquge.bz/book/30892/40717583.html
第6967章安东关，火炮三门，守军万人: https://www.xbiquge.bz/book/30892/40716452.html
第6966章晋军行动，寄予厚望: https://www.xbiquge.bz/book/30892/40716102.html
第6965章安东关不容有失: https://www.xbiquge.bz/book/30892/40715762.html
第181章 关羽出战: https://www.xbiquge.bz/book/30892/19014113.html
第182章 荆州出兵: https://www.xbiquge.bz/book/30892/19014114.html
第183章 糜家受难: https://www.xbiquge.bz/book/30892/19014115.html
第184章 一箭射杀: https://www.xbiquge.bz/book/30892/19014116.html
第185章 对质刘备: https://www.xbiquge.bz/book/30892/19014117.html
第186章 一剑: https://www.xbiquge.bz/book/30892/19014118.html
第187章 张飞相送: https://www.xbiquge.bz/book/30892/19014119.html
第188章 琅邪臧霸: https://www.xbiquge.bz/book/30892/19014120.html
第189章 文聘守山阳: https://www.xbiquge.bz/book/30892/19014121.html
第190章 幽州混乱: https://www.xbiquge.bz/book/30892/19014122.html
第191章 关宇出使琅邪: https://www.xbiquge.bz/book/30892/19014123.html
第192章 两军切磋: https://www.xbiquge.bz/book/30892/19014124.html
第193章 一戟之威: https://www.xbiquge.bz/book/30892/19014125.html
第194章 来自飞骑的碾压: https://www.xbiquge.bz/book/30892/19014126.html
第195章 劝臧霸: https://www.xbiquge.bz/book/30892/19014127.html
第196章 刘表的欲望: https://www.xbiquge.bz/book/30892/19014128.html
第197章 切磋（求订阅，求月票）: https://www.xbiquge.bz/book/30892/19014129.html
第198章 结拜（求订阅）: https://www.xbiquge.bz/book/30892/19014130.html
第199章 田丰劝张燕: https://www.xbiquge.bz/book/30892/19014131.html
第200章 颜良劳军: https://www.xbiquge.bz/book/30892/19014132.html
第201章 颜良挑战（求订阅）: https://www.xbiquge.bz/book/30892/19014133.html
第202章 袁本初出兵幽州: https://www.xbiquge.bz/book/30892/19014134.html
第203章 颜良再败: https://www.xbiquge.bz/book/30892/19014135.html
第204章 幽州求援: https://www.xbiquge.bz/book/30892/19014136.html
第205章 赵云入并州: https://www.xbiquge.bz/book/30892/19014137.html
第206章 震远镖局: https://www.xbiquge.bz/book/30892/19014138.html
第207章 蒲元: https://www.xbiquge.bz/book/30892/19014139.html
第208章 新的想法（求订阅、求月票）: https://www.xbiquge.bz/book/30892/19014140.html
第209章 赵云的感触（求订阅）: https://www.xbiquge.bz/book/30892/19014141.html
第210章 出兵幽州（求订阅）: https://www.xbiquge.bz/book/30892/19014142.html
第211章 上谷太守的战书（求订阅）: https://www.xbiquge.bz/book/30892/19014143.html
第212章 田丰出使并州军: https://www.xbiquge.bz/book/30892/19014144.html
第213章 拉拢（求订阅）: https://www.xbiquge.bz/book/30892/19014145.html
第214章 对战尹雄（上）: https://www.xbiquge.bz/book/30892/19014146.html
第215章 对战尹雄（下）: https://www.xbiquge.bz/book/30892/19014147.html
第216章 大破尹雄（求订阅）: https://www.xbiquge.bz/book/30892/19014148.html
第217章 取上谷（求订阅，求月票）: https://www.xbiquge.bz/book/30892/19014149.html
第218章 白马义从之败（上）: https://www.xbiquge.bz/book/30892/19014150.html
第219章 白马义从之败（中）: https://www.xbiquge.bz/book/30892/19014151.html
第220章 白马义从之败（下）: https://www.xbiquge.bz/book/30892/19014152.html
第221章 白马义从之败（终）: https://www.xbiquge.bz/book/30892/19014153.html
第222章 大败亏输（求订阅）: https://www.xbiquge.bz/book/30892/19014154.html
第223章 坐山观虎斗（求订阅）: https://www.xbiquge.bz/book/30892/19014155.html
第224章 再会赵云（求订阅）: https://www.xbiquge.bz/book/30892/19014156.html
第225章 陈天的秘密（求订阅）: https://www.xbiquge.bz/book/30892/19014157.html
第226章 田楷之败（上）: https://www.xbiquge.bz/book/30892/19014158.html
第227章 田楷之败（下）: https://www.xbiquge.bz/book/30892/19014159.html
第228章 赵云逞威（求订阅）: https://www.xbiquge.bz/book/30892/19014160.html
第229章 公孙瓒之死（求订阅）: https://www.xbiquge.bz/book/30892/19014161.html
第230章 追杀: https://www.xbiquge.bz/book/30892/19014163.html
第231章 吕布赶至（求订阅、求月票）: https://www.xbiquge.bz/book/30892/19014164.html
第232章 颜良撤退（求订阅）: https://www.xbiquge.bz/book/30892/19014166.html
第233章 蓟县被围？: https://www.xbiquge.bz/book/30892/19014168.html
第234章 文丑回援（求订阅）: https://www.xbiquge.bz/book/30892/19014169.html
第235章 赵云破文丑（求订阅）: https://www.xbiquge.bz/book/30892/19014170.html
第236章 巧取右北平（求订阅）: https://www.xbiquge.bz/book/30892/19014171.html
第237章 抓住沮授（求订阅）: https://www.xbiquge.bz/book/30892/19014172.html
第238章 袁绍暴怒: https://www.xbiquge.bz/book/30892/19014173.html
第239章 袁绍发兵: https://www.xbiquge.bz/book/30892/19014175.html
第240章 乌桓人的挑衅 （求订阅）: https://www.xbiquge.bz/book/30892/19014176.html
第241章 典韦之勇: https://www.xbiquge.bz/book/30892/19014178.html
第242章 乌桓欲求和（求订阅）: https://www.xbiquge.bz/book/30892/19014179.html
第243章 震慑（求订阅）: https://www.xbiquge.bz/book/30892/19014180.html
第244章 蹋顿的心思: https://www.xbiquge.bz/book/30892/19014181.html
第245章 吕布搦战: https://www.xbiquge.bz/book/30892/19014182.html
第246章 以一敌四: https://www.xbiquge.bz/book/30892/19014183.html
第247章 袁绍震惊（求订阅）: https://www.xbiquge.bz/book/30892/19014184.html
第248章 旗开得胜: https://www.xbiquge.bz/book/30892/19014185.html
第249章 公孙续的心思（求订阅）: https://www.xbiquge.bz/book/30892/19014186.html
第250章 飞骑战先登死士: https://www.xbiquge.bz/book/30892/19014187.html
第251章 郭嘉之计（求订阅）: https://www.xbiquge.bz/book/30892/19014188.html
第252章 乌桓人叛变: https://www.xbiquge.bz/book/30892/19014189.html
第253章 绝对力量的碰撞: https://www.xbiquge.bz/book/30892/19014190.html
第254章 袁绍撤退（求订阅）: https://www.xbiquge.bz/book/30892/19014192.html
第255章 田丰退追兵: https://www.xbiquge.bz/book/30892/19014193.html
第256章 郭嘉荐田豫（求订阅）: https://www.xbiquge.bz/book/30892/19014195.html
第257章 田豫效忠: https://www.xbiquge.bz/book/30892/19014196.html
第258章 赵云田豫镇幽州: https://www.xbiquge.bz/book/30892/19014198.html
第259章 陈天败许攸（求订阅）: https://www.xbiquge.bz/book/30892/19014199.html
第260章 兵力布置（求订阅）: https://www.xbiquge.bz/book/30892/19014201.html
第261章 田丰见沮授（求订阅）: https://www.xbiquge.bz/book/30892/19014202.html
第262章 古来征战几人回: https://www.xbiquge.bz/book/30892/19014205.html
第263章 军队比武: https://www.xbiquge.bz/book/30892/19014206.html
第264章 吕布上阵（求订阅）: https://www.xbiquge.bz/book/30892/19014207.html
第265章 稳稳的第一（求订阅）: https://www.xbiquge.bz/book/30892/19014208.html
第266章 蔡邕提亲（求订阅）: https://www.xbiquge.bz/book/30892/19014211.html
第267章 糜贞也有意？: https://www.xbiquge.bz/book/30892/19014212.html
第268章 约会（求订阅）: https://www.xbiquge.bz/book/30892/19014213.html
第269章 刘德的小心思: https://www.xbiquge.bz/book/30892/19014214.html
第270章 见官（求订阅）: https://www.xbiquge.bz/book/30892/19014215.html
第271章 晋阳令何在: https://www.xbiquge.bz/book/30892/19014216.html
第272章 吕布的办法（求订阅）: https://www.xbiquge.bz/book/30892/19014217.html
第273章 曹孟德夺兖州: https://www.xbiquge.bz/book/30892/19014218.html
第274章 张燕的见闻: https://www.xbiquge.bz/book/30892/19014219.html
第275章 会张燕（求订阅）: https://www.xbiquge.bz/book/30892/19014220.html
第276章 民为水君为舟（求订阅）: https://www.xbiquge.bz/book/30892/19014221.html
第277章 收纪灵: https://www.xbiquge.bz/book/30892/19014222.html
第278章 张燕的决定（求订阅）: https://www.xbiquge.bz/book/30892/19014223.html
第279章 整治演武堂（求订阅）: https://www.xbiquge.bz/book/30892/19014224.html
第280章 吕布大婚: https://www.xbiquge.bz/book/30892/19014225.html
第281章 见周瑜: https://www.xbiquge.bz/book/30892/19014226.html
第282章 各方使者（求订阅）: https://www.xbiquge.bz/book/30892/19014227.html
第283章 霹雳车: https://www.xbiquge.bz/book/30892/19014229.html
